# index|slug|diagram|mechanism (3 stages)|symptom > observation (3)|UP|DOWN|drugs|target > treatment (3)|key distinction|skills|related|reference
0|ckd|filter|腎臓の障害が持続~老廃物・水分の調節低下~むくみ・心血管負担|初期は無症状>尿蛋白・腎機能の推移~むくみ>体重・血圧・尿量~だるさ>貧血・食事量|Cr（機能低下時）;K・P（進行例）|eGFR;Hb（腎性貧血時）|ACE阻害薬・ARB;SGLT2阻害薬（適応例）|進行を抑える>血圧・血糖・蛋白尿を管理~合併症>貧血・電解質・体液を調整~高度の機能低下>透析・移植・保存的腎臓療法を検討|CKDは腎障害または腎機能低下が3か月以上続く状態。早期と末期を同一視しない。|fluid-balance,dialysis|chronic-renal-failure,aki|ckd
1|copd|airway|気道の炎症・肺胞の破壊~息を吐きにくく空気が残る~息切れ・活動低下|息切れ>呼吸数・努力・活動時の変化~咳・痰>量・色・排痰力~傾眠>意識・血液ガス|PaCO₂（換気不十分時）|PaO₂（ガス交換障害時）|LAMA・LABA;ICS（適応例で併用）|気流制限>吸入気管支拡張薬~増悪予防>禁煙・ワクチン・吸入指導~活動低下>呼吸リハビリ・栄養支援|PaCO₂上昇は全例ではない。ICSは喘息の特徴や増悪歴などで適応を評価する。|inhalation,oxygen-therapy,nppv|emphysema,respiratory-failure|copd
2|hhs|osmotic|著しい高血糖~尿へ糖と水分が失われる~脱水・高浸透圧・意識変化|口渇・多尿>水分出納・体重~脱水>血圧・脈拍・尿量~意識変化>意識・血糖・浸透圧|血糖;血漿浸透圧;BUN（脱水時）|K（治療中など）|インスリン;補液・電解質製剤|循環血液量>補液を状態に合わせ調整~高血糖>補液・K評価を踏まえインスリン~誘因>感染などの原因治療|現在は高浸透圧高血糖状態と呼ぶ。全例が昏睡になるわけではなく、急激な浸透圧変化を避ける。|fluid-balance,infusion-management|diabetes,electrolytes|hhs
3|iad|skin|尿・便との持続接触~角層のバリアが傷む~発赤・びらん・痛み|発赤>排泄物に触れる範囲~びらん>深さ・浸出液~痛み>清拭時の刺激・表情|特有の血液検査なし|特有の血液検査なし|皮膚保護剤;抗真菌薬（感染時）|刺激源>排泄管理・早めの交換~バリア低下>低刺激洗浄・保湿・皮膚保護~二次感染>真菌などを評価し治療|IADは湿潤と刺激による皮膚炎。圧迫による褥瘡と区別し、両者の併存にも注意する。|perineal-care,bed-bath|pressure-injury,cellulitis|iad
4|sah|brain-bleed|くも膜下腔への出血~頭蓋内環境が急変~頭痛・意識障害|突然の激しい頭痛>発症時刻・経過~意識変化>意識・瞳孔・呼吸~麻痺・反応低下>血圧・水頭症・遅発性脳虚血|特有の血液検査なし|Na（合併時）|降圧薬;脳血管攣縮対策薬（適応例）|再出血>動脈瘤のコイル塞栓・クリッピング~循環・脳保護>血圧・呼吸・体液を管理~合併症>水頭症・遅発性脳虚血を監視|突然の激しい頭痛は緊急評価の対象。動脈瘤の有無・出血部位で治療が異なる。|arterial-line,fluid-balance|cerebral-edema,intracerebral-hemorrhage|sah
5|sick-sinus|rhythm|洞結節の発火・伝導が低下~徐脈・洞停止~脳への血流が減る|めまい・失神>症状と心電図の同時性~疲労>脈拍・活動耐容能~頻脈との交代>連続心電図・薬歴|特有の血液検査なし|特有の血液検査なし|アトロピン（急性徐脈の適応例）|可逆的原因>薬剤・電解質などを確認~循環不安定>急性徐脈への緊急処置~症候性徐脈>ペースメーカーを検討|停止時間だけで症状や治療を決めない。症状との関連と可逆的原因を評価する。|ecg|atrial-fibrillation,heart-failure|sss
6|shock|perfusion|出血・ポンプ不全・血管拡張など~組織への血流が不足~臓器障害|意識変化>反応・見当識~末梢循環不良>皮膚温・毛細血管再充満~尿量低下>時間尿量・乳酸の推移|乳酸（上昇しうる）|pH（代謝性アシドーシス時）|ノルアドレナリン（適応例）;原因別の薬剤|原因>止血・感染治療・閉塞解除など~循環>原因に応じ補液・輸血・昇圧薬~臓器>呼吸・尿量・意識を再評価|低血圧だけで判断しない。心原性・閉塞性ショックでは一律の大量補液は適さない。|arterial-line,fluid-balance,blood-transfusion|sepsis,tamponade,pulmonary-embolism|shock
7|dumping|transit|胃から小腸へ急速に流入~早期：体液移動／後期：インスリン過剰~腹部症状／反応性低血糖|食後の腹痛・下痢>食事から発症までの時間~動悸・ふらつき>脈拍・血圧~遅れて冷汗・脱力>血糖・食事内容|血糖（後期型の先行上昇）|血糖（後期型の低血糖）|アカルボース;オクトレオチド（専門評価で）|急速な流入>少量頻回・食べ方を調整~後期の低血糖>単純糖質を控え栄養相談~難治例>薬物療法・術式の評価|早期は食後約30分以内、後期は1〜3時間後が目安。両者を一つの機序にしない。|enteral-nutrition|malnutrition,diabetes|dumping
8|nephrotic|leak|糸球体の蛋白保持が破綻~尿へ蛋白が失われる~低アルブミン血症・浮腫|むくみ>体重・尿量・呼吸~泡立つ尿>尿蛋白を検査~血栓・感染徴候>片脚の腫れ・発熱|尿蛋白;LDL（上昇しうる）|Alb|利尿薬;ステロイド・免疫抑制薬（病型別）|蛋白漏出>原疾患・病理に応じ治療~浮腫>塩分・体液と利尿薬を調整~合併症>感染・血栓リスクを評価|ステロイドはすべてのネフローゼに一律の治療ではない。体液量は浮腫だけで決めない。|fluid-balance|ckd,dvt|nephrotic
9|refeeding|shift|長期低栄養後の栄養再開~インスリン上昇で電解質が細胞内へ~低P・K・Mgと臓器障害|脱力>筋力・呼吸状態~浮腫>体重・水分出納~動悸・意識変化>心電図・電解質|血糖（上昇しうる）|P;K;Mg|ビタミンB₁;電解質補充製剤|高リスク>開始前に栄養・電解質を評価~急な代謝変化>少量から個別計画で栄養再開~欠乏>B₁・電解質補充と継続測定|開始量・増量速度は低栄養の程度で個別に決める。栄養開始後の血液値と臓器所見を合わせて評価する。|enteral-nutrition,fluid-balance|malnutrition,electrolytes|refeeding
